Region,Year,MedianSalary
    Scotland,2016,27925
    Scotland,2017,28335
    Scotland,2018,29289
    Scotland,2019,30000
    Scotland,2020,31604
    Scotland,2021,31504
    Scotland,2022,33310
    Scotland,2023,35518
    Northern Ireland,1999,15798
    Northern Ireland,2000,16599
    Northern Ireland,2001,17529
    Northern Ireland,2002,18325
    Northern Ireland,2003,18502
    Northern Ireland,2004,19622
    Northern Ireland,2005,20060
    Northern Ireland,2006,20739
    Northern Ireland,2007,20934
    Northern Ireland,2008,22122
    Northern Ireland,2009,23023
    Northern Ireland,2010,22394
    Northern Ireland,2011,23034
    Northern Ireland,2012,23944
    Northern Ireland,2013,23952
    Northern Ireland,2014,24491
    Northern Ireland,2015,25719
    Northern Ireland,2016,25978
    Northern Ireland,2017,25935
    Northern Ireland,2018,27101
    Northern Ireland,2019,27437
    Northern Ireland,2020,28624
    Northern Ireland,2021,29073
    Northern Ireland,2022,30218
    Northern Ireland,2023,32879
