year,region,sum(h.sales_volume)
2015,Wales,44417
2015,"West Midlands",35758
2015,"Yorkshire and The Humber",81711
2016,"East Midlands",83631
2016,"East of England",109404
2016,London,104805
2016,"North East",38459
2016,"North West",114828
2016,"Northern Ireland",22992
2016,Scotland,98670
2016,"South East",159512
2016,"South West",108101
2016,Wales,46361
2016,"West Midlands",36857
2016,"Yorkshire and The Humber",83872
2017,"East Midlands",82255
2017,"East of England",104567
2017,London,96040
2017,"North East",40518
2017,"North West",117838
2017,"Northern Ireland",24603
2017,Scotland,103109
2017,"South East",153884
2017,"South West",106189
2017,Wales,49047
2017,"West Midlands",36463
2017,"Yorkshire and The Humber",87259
2018,"East Midlands",80700
2018,"East of England",99714
2018,London,89903
2018,"North East",39746
2018,"North West",115908
2018,"Northern Ireland",25026
2018,Scotland,100499
2018,"South East",145494
2018,"South West",100776
2018,Wales,48452
2018,"West Midlands",36285
2018,"Yorkshire and The Humber",85829
2019,"East Midlands",77349
2019,"East of England",96291
2019,London,86241
2019,"North East",39410
2019,"North West",113509
2019,"Northern Ireland",24936
2019,Scotland,102856
2019,"South East",139774
2019,"South West",95452
2019,Wales,46881
2019,"West Midlands",34337
2019,"Yorkshire and The Humber",84449
2020,"East Midlands",63600
2020,"East of England",82391
2020,London,74812
2020,"North East",33110
2020,"North West",93697
2020,"Northern Ireland",21234
2020,Scotland,88928
2020,"South East",121307
2020,"South West",80698
2020,Wales,35789
2020,"West Midlands",26800
2020,"Yorkshire and The Humber",70001
2021,"East Midlands",95516
2021,"East of England",131057
2021,London,119093
2021,"North East",49261
2021,"North West",137333
2021,"Northern Ireland",30744
2021,Scotland,114022
2021,"South East",195038
2021,"South West",124974
2021,Wales,55207
2021,"West Midlands",39320
2021,"Yorkshire and The Humber",101354
2022,"East Midlands",80975
2022,"East of England",105665
2022,London,100239
2022,"North East",43863
2022,"North West",115743
2022,"Northern Ireland",25299
2022,Scotland,103600
2022,"South East",153980
2022,"South West",99191
2022,Wales,47513
2022,"West Midlands",33524
2022,"Yorkshire and The Humber",86187
2023,"East Midlands",58424
2023,"East of England",72983
2023,London,71072
2023,"North East",34279
2023,"North West",85678
2023,"Northern Ireland",22017
2023,Scotland,91805
2023,"South East",108320
2023,"South West",73372
2023,Wales,34835
2023,"West Midlands",24388
2023,"Yorkshire and The Humber",65139
2024,"East Midlands",48370
2024,"East of England",62348
2024,London,62599
2024,"North East",27418
2024,"North West",72321
2024,"Northern Ireland",20903
2024,Scotland,90798
2024,"South East",93439
2024,"South West",62437
2024,Wales,29245
2024,"West Midlands",20411
2024,"Yorkshire and The Humber",54076
